theta,CMM,CTM,CNM,CδM,CψM,CQM,CMT,CTT,CNT,CδT,CψT,CQT,CMN,CTN,CNN,CδN,CψN,CQN,d
130.0,0.0,-0.14,-0.05,-0.7,0.1,0.1,-0.008,-0.01,0.01,0.145,0.1,-0.04,-0.011,-0.06,-0.01,-0.05,0.7,-0.145,100
135.0,-0.005,-0.15,-0.04,-0.6,0.0,-0.02,-0.007,-0.004,0.011,0.15,-0.02,-0.03,-0.012,-0.05,-0.004,0.0,0.6,-0.15,100
140.0,-0.008,-0.15,-0.025,-0.5,0.0,-0.03,-0.006,0.0,0.011,0.15,-0.03,-0.02,-0.012,-0.04,0.0,0.03,0.5,-0.15,100
145.0,-0.01,-0.14,-0.01,-0.04,0.0,-0.11,-0.005,0.005,0.01,0.145,-0.11,-0.01,-0.011,-0.021,0.005,0.12,0.4,-0.145,100
150.0,-0.011,-0.13,0.0,-0.03,0.0,-0.16,-0.004,0.007,0.01,0.13,-0.16,0.0,-0.011,-0.006,0.007,0.2,0.3,-0.13,100
155.0,-0.011,-0.125,0.01,-0.02,0.0,-0.2,-0.003,0.009,0.009,0.12,-0.2,0.01,-0.01,0.006,0.009,0.22,0.2,-0.12,100
160.0,-0.01,-0.1,0.02,-0.01,0.0,-0.22,-0.002,0.01,0.009,0.1,-0.22,0.02,-0.01,0.02,0.01,0.25,0.1,-0.1,100
165.0,-0.009,-0.075,0.025,-0.05,0.0,-0.23,-0.002,0.009,0.008,0.08,-0.23,0.025,-0.009,0.022,0.009,0.28,0.05,-0.08,100
170.0,-0.006,-0.05,0.035,-0.03,0.0,-0.24,-0.001,0.007,0.008,0.05,-0.24,0.03,-0.009,0.025,0.007,0.29,0.03,-0.05,100
175.0,-0.003,-0.03,0.038,-0.01,0.0,-0.25,-0.001,0.004,0.007,0.02,-0.25,0.035,-0.008,0.029,0.004,0.3,0.01,-0.02,100
180.0,0.0,0.0,0.04,0.0,0.0,-0.25,0.0,0.0,0.007,0.0,-0.25,0.04,-0.008,0.03,0.0,0.3,0.0,0.0,100
0.0,-0.5,0.0,0.91,0.0,35.0,-2.3,0.0,0.5,0.13,0.0,-2.3,0.9,-0.13,0.78,0.5,3.2,0.0,0.0,300
5.0,-0.42,0.3,0.89,2.5,25.0,-2.1,0.01,0.43,0.09,-0.28,-2.1,0.89,-0.09,0.81,0.43,3.0,-2.5,0.28,300
10.0,-0.35,0.55,0.85,4.5,15.0,-1.8,0.016,0.36,0.055,-0.55,-1.8,0.85,-0.055,0.8,0.36,2.7,-4.5,0.55,300
